SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+HyRTS_ps3cl|,|STARTS+HyRTS_ps3cl\VMS|,|VMS\FINE_STARTS+HyRTS_ps3cl|,|FINE_STARTS+HyRTS_ps3cl\VMS|,|VMS\EKSTAZI+HyRTS_ps3cl|,|EKSTAZI+HyRTS_ps3cl\VMS|,|VMS\FINE_EKSTAZI+HyRTS_ps3cl|,|FINE_EKSTAZI+HyRTS_ps3cl\VMS|
095f7f50,42,41,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0
aab22fc4,42,4,0,4,0,4,0,0,38,0,38,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
8add94fc,42,3,0,3,0,3,0,0,41,0,41,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
ca74f47d,43,4,0,0,39,0,39,0,39,0,39,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5fd00d64,44,5,0,0,39,1,38,0,39,0,39,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
1a2e12c8,44,4,0,0,40,1,40,0,40,0,40,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
ca65459f,44,4,0,4,0,4,0,0,42,0,42,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0b9ede25,47,7,0,0,40,7,0,0,40,0,40,0,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
36f84631,46,20,1,1,27,20,0,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
b0306567,46,4,0,1,41,1,41,0,42,0,42,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
d53a11b8,47,5,0,1,42,1,42,1,42,1,42,0,42,0,43,0,42,0,42,0,42,0,42,0,43,0,42,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
667755b0,47,4,0,0,43,0,43,0,43,0,43,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
sum,534,105,1,14,312,42,244,2,434,2,434,33,111,33,111,33,110,33,110,33,110,33,110,33,111,33,110,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0
arith_mean,44.50,8.75,1.00,2.33,34.67,4.67,34.86,1.00,36.17,1.00,36.17,3.67,27.75,3.67,27.75,3.67,27.50,3.67,27.50,3.67,27.50,3.67,27.50,3.67,27.75,3.67,27.50,8.75,0,8.75,0,8.75,0,8.75,0,8.75,0,8.75,0,8.75,0,8.75,0
geo_mean,44.46,5.90,1.00,1.91,25.68,2.66,23.85,1.00,28.80,1.00,28.80,3.40,14.68,3.40,14.68,3.40,14.59,3.40,14.59,3.40,14.59,3.40,14.59,3.40,14.68,3.40,14.59,5.90,0,5.90,0,5.90,0,5.90,0,5.90,0,5.90,0,5.90,0,5.90,0
